,,,,
asset,year,rep_period,specification,partition
GR_Wind_Onshore,2050,2,uniform,1
GR_Wind_Offshore,2050,2,uniform,1
GR_Solar,2050,2,uniform,1
GR_Hydro,2050,2,uniform,1
GR_Gas,2050,2,uniform,1
GR_OCGT,2050,2,uniform,1
BG_E_ENS,2050,2,uniform,1
BG_Wind_Onshore,2050,2,uniform,1
BG_Solar,2050,2,uniform,1
BG_Hydro,2050,2,uniform,1
BG_Nuclear,2050,2,uniform,1
BG_Coal,2050,2,uniform,1
BG_Gas,2050,2,uniform,1
BG_OCGT,2050,2,uniform,1
RO_E_ENS,2050,2,uniform,1
RO_Wind_Onshore,2050,2,uniform,1
RO_Wind_Offshore,2050,2,uniform,1
RO_Solar,2050,2,uniform,1
RO_Hydro,2050,2,uniform,1
RO_Nuclear,2050,2,uniform,1
RO_Coal,2050,2,uniform,1
RO_Gas,2050,2,uniform,1
RO_OCGT,2050,2,uniform,1
CY_E_ENS,2050,2,uniform,1
CY_Wind_Onshore,2050,2,uniform,1
CY_Solar,2050,2,uniform,1
CY_Gas,2050,2,uniform,1
OBZLL_Wind_Offshore,2050,2,uniform,1
EU_SMR_CCS,2050,2,uniform,1
NL_Battery,2050,2,uniform,1
BE_Battery,2050,2,uniform,1
DE_Hydro_Reservoir,2050,2,uniform,24
DE_Battery,2050,2,uniform,1
DE_Pump_Hydro_Closed,2050,2,uniform,24
DE_Pump_Hydro_Open,2050,2,uniform,24
FR_Hydro_Reservoir,2050,2,uniform,24
FR_Pump_Hydro_Closed,2050,2,uniform,24
FR_Pump_Hydro_Open,2050,2,uniform,24
UK_Battery,2050,2,uniform,1
UK_Pump_Hydro_Closed,2050,2,uniform,24
IE_Battery,2050,2,uniform,1
IE_Pump_Hydro_Closed,2050,2,uniform,24
CH_Battery,2050,2,uniform,1
CH_Pump_Hydro_Closed,2050,2,uniform,24
CH_Pump_Hydro_Open,2050,2,uniform,24
AT_Hydro_Reservoir,2050,2,uniform,24
AT_Battery,2050,2,uniform,1
AT_Pump_Hydro_Closed,2050,2,uniform,24
AT_Pump_Hydro_Open,2050,2,uniform,24
LU_Pump_Hydro_Closed,2050,2,uniform,24
CZ_Hydro_Reservoir,2050,2,uniform,24
CZ_Battery,2050,2,uniform,1
CZ_Pump_Hydro_Closed,2050,2,uniform,24
CZ_Pump_Hydro_Open,2050,2,uniform,24
PL_Hydro_Reservoir,2050,2,uniform,24
PL_Pump_Hydro_Closed,2050,2,uniform,24
PL_Pump_Hydro_Open,2050,2,uniform,24
SE_Hydro_Reservoir,2050,2,uniform,24
SE_Battery,2050,2,uniform,1
NO_Pump_Hydro_Open,2050,2,uniform,24
NO_Hydro_Reservoir,2050,2,uniform,24
ES_Hydro_Reservoir,2050,2,uniform,24
ES_Battery,2050,2,uniform,1
ES_Pump_Hydro_Closed,2050,2,uniform,24
ES_Pump_Hydro_Open,2050,2,uniform,24
PT_Hydro_Reservoir,2050,2,uniform,24
PT_Pump_Hydro_Open,2050,2,uniform,24
IT_Hydro_Reservoir,2050,2,uniform,24
IT_Battery,2050,2,uniform,1
IT_Pump_Hydro_Closed,2050,2,uniform,24
IT_Pump_Hydro_Open,2050,2,uniform,24
SI_Battery,2050,2,uniform,1
SI_Pump_Hydro_Closed,2050,2,uniform,24
HU_Battery,2050,2,uniform,1
SK_Hydro_Reservoir,2050,2,uniform,24
SK_Pump_Hydro_Closed,2050,2,uniform,24
SK_Pump_Hydro_Open,2050,2,uniform,24
LT_Battery,2050,2,uniform,1
LT_Pump_Hydro_Closed,2050,2,uniform,24
FI_Hydro_Reservoir,2050,2,uniform,24
FI_Battery,2050,2,uniform,1
HR_Hydro_Reservoir,2050,2,uniform,24
HR_Battery,2050,2,uniform,1
HR_Pump_Hydro_Open,2050,2,uniform,24
GR_Hydro_Reservoir,2050,2,uniform,24
GR_Battery,2050,2,uniform,1
GR_Pump_Hydro_Closed,2050,2,uniform,24
GR_Pump_Hydro_Open,2050,2,uniform,24
BG_Hydro_Reservoir,2050,2,uniform,24
BG_Pump_Hydro_Closed,2050,2,uniform,24
BG_Pump_Hydro_Open,2050,2,uniform,24
RO_Hydro_Reservoir,2050,2,uniform,24
RO_Battery,2050,2,uniform,1
RO_Pump_Hydro_Open,2050,2,uniform,24
CY_Battery,2050,2,uniform,1
DK_Battery,2050,2,uniform,1
BG_Battery,2050,2,uniform,1
FR_Battery,2050,2,uniform,1
LV_Battery,2050,2,uniform,1
PT_Battery,2050,2,uniform,1
SK_Battery,2050,2,uniform,1
